id,username,text,created_at,lang,possibly_sensitive
1651599449540403201,adhayeiladim,מקור: https://t.co/Rn92SqDLIL,2023-04-27 14:49:28+00:00,he,False
1651599387129249792,adhayeiladim,"מעגל הנרטיב סביב ״ילדים טרנס״ כפי שהוגדר ע״י ד״ר ג׳רמי שו בטוויטר (מקור בתגובות), תורגם על ידנו.
נשמח לשיתופים בכל הפלטפורמות!

Credit: @JeremyShawMD https://t.co/VzGvPMICoF",2023-04-27 14:49:13+00:00,he,False
1651596058793738242,adhayeiladim,"איגוד הפסיכולוגים מתעלם מהמחקרים הכי עדכניים, ומשינוי מדיניות במדינות מתקדמות כמו בריטניה, שבדיה, פינלד ונורבגיה שהפסיקו בטיפולי ""התאמה מגדרית"" בילדים. 
מוזמנים להשכיל פה:  https://t.co/dBHvCXgzTN https://t.co/wMsQPLfxbN",2023-04-27 14:36:00+00:00,he,False
1651512464633102337,adhayeiladim,"RT @nfsgalibh: משקרים לכל הילדים שלנו. ולא צריך להתלבט למי להאמין כי עיקור, סירוס, והפיכת ילדים בראים לחולים כרוניים לא יכולים להיות פתרון…",2023-04-27 09:03:49+00:00,he,False
1651512133765431301,adhayeiladim,@shakedmiriam למה העירייה מממנת שעת סיפור בדראג? יש להם אג'נדה ברורה מאוד,2023-04-27 09:02:30+00:00,he,False
1651511989313708041,adhayeiladim,@shakedmiriam @TelAvivYafo @Ron_Huldai,2023-04-27 09:01:56+00:00,qam,False
1651510908512874496,adhayeiladim,"@cherderol @shakedmiriam @eBJg2WKX0UQEFG3 היא עושה הרבה יותר גרוע מרק לקיחת צד פוליטי.
האגודה דוחפות אג'נדות בבתי ספר, מממנת עורכי דין כדי להתריד את מנגדיה, ודוחפת ילדים לסירוס ופגיעה. יש לנו הרבה ציוצים על הנעשה, במיוחד סירוס ונזק בלתי הפיך בילדים הומוסקסואלים בשביל לקרוא להם ""טרנס"".",2023-04-27 08:57:38+00:00,he,False
1651274583192879131,adhayeiladim,"RT @ProgressivismE: הם מכחישים שוב ושוב שהם מנרמלים פדופיליה, עד יום אחד הם חושפים את הדגל החדש ל""נטיה המינית החדשה""

ויש גם שם חדש! כי חיי…",2023-04-26 17:18:34+00:00,he,False
1651215299793010688,adhayeiladim,"מלכת דראג ""סוזי בום"" מסביר שמחפש להופיע בפני הרבה ילדים ביוטיוב.
למה?
 שיעזוב את הילדים בשקט. שמרו על הילדים שלכם, תרחיקו אותם מהרוע הזה. https://t.co/CCHWD06fSk",2023-04-26 13:23:00+00:00,he,False
1651026967263686662,adhayeiladim,"@asherisraeli עובדה שזה מתחיל להיות לא חוקי בארה""ב בפרק זמח מאוד קצר. וארופה גם. 
זה משתנה מהר מאוד בחו""ל",2023-04-26 00:54:38+00:00,he,False
1651445599030353923,shirlief,@DanielGinat ברור,2023-04-27 04:38:07+00:00,he,False
1651256321843265538,shirlief,"RT @adhayiladim: מלכת דראג ""סוזי בום"" מסביר שמחפש להופיע בפני הרבה ילדים ביוטיוב.
למה?
 שיעזוב את הילדים בשקט. שמרו על הילדים שלכם, תרחיקו…",2023-04-26 16:06:00+00:00,he,False
1651128225269964803,shirlief,"RT @TransJusticeOrg: ""Only 1% detransition""... doesn't seem to hold up these days, does it? #DetransAwarenessDay #IAmDetrans https://t.co/E…",2023-04-26 07:37:00+00:00,en,False
1651070519712645120,shirlief,@OliLondonTV They don’t learn ah? using this dude promoting female products is not so good for business #boycottmaybelline,2023-04-26 03:47:41+00:00,en,False
1651069950981730306,shirlief,@HollyBriden @OliLondonTV Him,2023-04-26 03:45:26+00:00,und,False
1651069626015526913,shirlief,@ClownWorld_ Didn’t they learn that using this dude for modelling women’s product is bad for business? 🤦🏻‍♀️ #boycottmaybelline,2023-04-26 03:44:08+00:00,en,False
1650973432803147777,shirlief,"RT @NotScottNewgent: One after another, after another.

Young adults are NOT doing well after medically transitioning in childhood. 

Mains…",2023-04-25 21:21:54+00:00,en,False
1650972385078648832,shirlief,@OfTheFutureArt @VonAlawon I’m happy to read that your relationship with your mom healed .. my daughter is now a year on T and has cut off all contact with me. I pray each day that one day our relationship will heal as well with min damages to her body,2023-04-25 21:17:44+00:00,en,False
1650763139619647488,shirlief,@sleepymammabear Celebrities are working for the agenda and the CIA,2023-04-25 07:26:16+00:00,en,False
1650733720746196992,shirlief,RT @SpartaJustice: RULERS OF OUR WORLD: The Committee of 300 is a small group of insidious people who control all aspects of our world. Thr…,2023-04-25 05:29:22+00:00,en,False
